keys,en,zh
help_event_values_msg,"Here is the tutorial of how to set the value of all types of events:\n\n\tAlpha: From 0(transparent) to 1(opaque) and any negative value(hide the line and all notes on it)\n\tRotate: For example, 180 means the line turns 180 degrees\n\tSpeed: For example, 1 means the notes will move 1 screen height per second\n\tX: From -1(left of the screen) to 1(right of the screen)\n\tY: From -1(top of the screen) to 1(bottom of the screen)\n\n\tColor: Input the hex code of the color\n\tIncline: Useless currently\n\tText: Input the text you want to display\n\tScaleX and ScaleY: Input the scale factor of the texture you want",以下是如何设置各种类型事件的值的教程：\n\n\tAlpha（透明度事件）：从0（透明）到1（不透明）以及任意负值（隐藏判定线及其上全部音符）\n\tRotate（旋转事件）：例如，180意味着判定线旋转180度\n\tSpeed（速度事件）：例如，1意味着音符会在每秒内移动1个屏幕高\n\tX（横向移动事件）：从-1（屏幕左侧）到1（屏幕右侧）\n\tY（纵向移动事件）：从-1（屏幕上方）到1（屏幕下方）\n\n\tColor（颜色事件）：输入颜色的十六进制码\n\tIncline：目前没用\n\tText（文字事件）：输入你想要显示的文字\n\tScaleX（X轴缩放事件）和ScaleY（Y轴缩放事件）：输入你想要的纹理缩放比例
help_father_line,Father line,父线
help_father_line_msg,"You can set a father line for a judge line. When the father line value isn't -1, it will set the selected line as its father line. The coordinate system of the child line changes as the parent line changes.\n\nNo recursive parent relations!\nNo recursive parent relations!!\nNo recursive parent relations!!!",你可以为一条判定线设置一个父线。当父线的值不为-1时，它会设置选中的判定线为其父线。子线的坐标系会跟随父线变化。\n\n不许循环当爹！\n不许循环当爹！！\n不许循环当爹！！！
help_notes_binding,Notes binding on line,音符绑线
help_notes_binding_msg,"If you want to bind some notes on a judge line, you should use this method called ""Line binding"". It's core is to put a zero value speed event to make the notes stick to the judge line, then you can control the notes by controling the judge line. When you want to recycle the note, you need to make sure the move speed of the judge line is the same with other normal notes'.\nOf course, if you don't want to calculate event values, you can use fake notes to make them no need to hit. Just select a note and turn on the fake note switch, then click apply button.",如果你想在一条判定线上绑定一些音符，你需要使用这种叫做“绑线”的方法。它的核心是放置一个零值速度事件让音符黏在判定线上，然后你就可以通过控制判定线来控制音符。当你想要回收音符时，你需要确保判定线的移动速度和其他正常音符的移动速度一致。当然，如果你不想计算事件值，你可以使用假音符让它们无需击打。你只需要选择一个音符然后打开假音符开关，然后点击应用按钮。
home,Back to home,返回主界面
home_confirm,Are you sure to return to the homepage?,你确定要返回主界面吗？
import,Import...,导入……
import_chart,Import chart,导入谱面
import_skin,Import skin,导入皮肤
invalid_value,Operation failed: Invalid value.,操作失败：非法数值。
last_edit_version_confirm,This chart is edited with newer Phiator version for the last time. Some unexpected errors may appear if using current Phiator version to edit the chart. Are you sure to continue?,这张谱面最后一次编辑使用的是更新版本的Phiator。如果使用当前版本的Phiator编辑该谱面，可能会出现一些不可预料的问题。确定要继续吗？
level_text,Level text,难度文本
line,Line,判定线
line_id,Line ID,显示线号
line_one,There must be one judge line at least!,至少需要有一条判定线！
modify_event,Modify event,修改事件
modify_note,Modify note,修改音符
music_speed,Music speed,音乐速度
network_error,Network error. Please check your network connection or change a VPN then retry.,网络错误。请检查你的网络连接或更换VPN后重试。
no_available_content,No available content.,没有可用内容。
no_latest_log,No valid latest log.,没有有效的最新日志。
no_ui,No UI,无UI
no_valid_clip,No valid clip data. Please ensure your clipboard was not modified.,没有有效的剪贴板数据。请确保你的剪贴板没有被修改。
not_authenticated,"Your device is not authenticated. Please press ""Copy"" button to copy your Phiator pass code and then get touch with an auditor.",你的设备没有被认证。请按“复制”按钮复制你的Phiator通行证代码后与审核员取得联系。
note,Note,音符
note_event,Note\nEvent,音符\n事件
off,Off,关
ok,Ok,确定
on,On,开
paste,Paste,粘贴
pause_button,Pause button,暂停按钮
preview_chart,Preview chart,预览谱面
progress_bar,Progress bar,进度条
redo,Redo,重做
redo_msg,Redo: {action},重做：{action}
refresh_list,Refresh list,刷新列表
restore_to_default,Restore to default,恢复默认设置
retry,Retry,重试
visible,Visible time: ,可视时间：
rpaste,R Paste,反转粘贴
save_chart,Save chart,保存谱面
save_failed,Save chart failed. Please restart the app and send the latest log to the author of the app.,保存谱面失败。请重启APP然后将最新的日志发送给APP作者。
save_properties,Save properties,保存配置
score_text,Score text,分数文本
select,Select,选择
select_illustration,Select illustration,选择曲绘
select_item,Please select an item!,请选择一个项目！
select_music,Select music,选择音乐
select_save_path,Select save path,选择保存路径
settings_auto_save,Auto save interval: ,自动保存间隔：
settings_background,Home background: ,主界面背景：
settings_background_classic,Classic (Gray background),经典（灰色背景）
settings_background_icon,Icon,图标
settings_background_random,Random illustration from chart list,从谱面列表中随机曲绘
settings_black,Background black: ,背景黑度：
settings_blur,Blur background: ,虚化背景：
settings_data,Data format: ,数据格式：
settings_data_phiator,Phiator format,Phiator格式
settings_data_rpe,Re:PhiEdit format,Re:PhiEdit格式
settings_history,History size: ,历史记录长度：
settings_interface_scale,Interface scale: ,界面缩放：
settings_music,Music volume: ,音乐音量：
settings_notification,Notification time: ,通知显示时长：
settings_safe_zone,Safe zone: ,安全区：
settings_se,SE volume: ,音效音量：
skins,Skins,皮肤
skins_author,Author: ,作者：
skins_description,Description: ,描述：
skins_name,Name: ,名称：
speed,Speed rate: ,速度倍率：
texture,Texture: ,纹理：
texture_loaded_failed,Texture {texture} loaded failed.,纹理{texture}加载失败。
tip1,"Each tip will be displayed for 10 seconds!",每个tip将会显示10秒！
tip2,"Starting making charts (SHITTING)",开始写谱了（SHITTING）
tip3,"X X XXX",X X XXX
tip4,"Please subscribe DZH on YouTube! Thanks nya~",B站关注起名钉子户谢谢喵~
tip5,"Be freestyle like a Jesus girl",Be freestyle like a Jesus girl
tip6,"Only feels like... I forgot",Only feels like……后面忘了
tip7,"The fact that you're reading this tip means you've already seen it",当你看到这条tip的时候说明你看到了这条tip
tip8,"Every 60 seconds you spend is like one minute you've actually lived",你每度过60秒就等于你度过了1分钟
tip9,"Does anyone actually read these tips?",真得有人会看这些吗？
tip10,"O Fortuna velut luna statu variabilis...",O Fortuna velut luna statu variabilis...
tip11,"You're a catgirl",你是一只猫娘
tip12,"IM WATCHING YOU",IM WATCHING YOU
tip13,"zzz",zzz
tip14,"Don't you have anything more important to do?",你难道就没有更重要的事情做吗？
tip15,"WAHT",WAHT
tip16,"2112",2112
tip17,"Yes you are right, but Phiator is a I forgot what I want to say",你说得对，但是Phiator是一款后面忘了
tip18,"Phiator!!!!!!",Phiator！！！！！！
tip19,"Ouch! Phiator crashed... This isn't Phiator's fault! Definitely not!",哎哟！Phiator崩溃了……这不是Phiator的错！绝对不是！
tip20,"Do you know I don't know what you are thinking about me",你知道我不知道你在想关于我的什么吗
tip21,"The server is busy, please try again later.",服务器繁忙，请稍后再试。
tip22,"Dudu I have no time to write it",我懒得写了
tip23,"Today is the day after yesterday",今天是昨天的明天
tip24,"You have seen {num} tips! How about having a rest?",你已经看了{num}个tip了！休息一下好不好？
tip25,"←To be continued",←To be continued
tip26,"It's! T! V! Time!",It's! T! V! Time!
tip27,"The catgirl is so cute nya",猫娘可爱喵
tip28,"67!!!",67！！！
tip29,"Do you know how many tips there are in total here?",你知道这里一共有多少个tip吗？
tip30,"Phiator detected that you are shitting. Deleting your Phiator pass code... Deleted successfully.",Phiator检测到你正在熬大粪。正在删除你的Phiator通行证代码……删除成功。
tip31,"I'm really absolutely super angry just now",我现在超级无敌生气暴怒
tip32,"Crazy Thursday v me 50",疯狂星期四v我50
tip33,"Tip: Tip: Tip: Tip: ",Tip: Tip: Tip: Tip: 
tip34,"I wrote 100 tips!",我写了100个tip！
tip35,"XXX XX XX XXXXXXX",XXX XX XX XXXXXXX
tip36,"You're up! Go to make charts",你醒啦，起来写谱
tip37,"Click here to start charting with brainwaves",点击此处开始脑电波写谱
tip38,"java.lang.NullPointerException",java.lang.NullPointerException
tip39,"Lend me your power!",Lend me your power!
tip40,"far in the blue sky...",far in the blue sky...
tip41,"In the time it takes you to make a chart, DZH have already found NaN problems",你写一张谱的时间，钉子户就已经发现NaN个问题了
tip42,"This tip is generated by AI",此tip为AI生成
tip43,"What are you expected for?",你在期待什么？
tip44,"(Pornographic sounds)",齁齁哦哦哦哦哦哦
tip45,"It's time to be a [[BIG SHOT]]!",是时候成为一个【大人物】了！
tip46,"I can do anything!",我无所不能！
tip47,"Let's fucking go!!!",Let's fucking go!!!
tip48,"1225",1225
tip49,"*Couldn't find            your hands.",*找不到            你的手了。
tip50,"Does cyber DZH dream about electroic Phiator?",赛博钉子户会梦到电子Phiator吗？
tip51,"Did you placed a base event (watching closely)",放垫底事件了吗（盯）
tip52,"      ","                        "
tip53,"Tips are all useless... Maybe.",tips全是没用的东西……或许吧。
tip54,"Detected there is a pigeon near by... Within 5 meters.",检测到附近有一只鸽子……在5米以内。
tip55,"* Proceed",* 继续前进
tip56,"If you met some problems when using the app, please report them in the Discord server!",如果你在使用APP的时候遇到了问题，请在QQ频道里向我汇报！
tip57,"A mysterious counter recorded a mysteriois number: {num}",一个神秘的计数器记录了一个神秘的数字：{num}
tip58,"This is a tip",这是一条tip
tip59,"I fixed 100 bugs!",我修复了100个bug！
tip60,"This is a bug",这是一个bug
tip61,"This is not a tip",这不是一条tip
tip62,"AI charting? Sounds cool but not reliable",AI写谱？听起来挺酷但不靠谱
tip63,"This tip is not generated by AI",此tip不为AI生成
tip64,"Paper(The author of an editor that requires payment): I'm a little sad because I earned little today",纸张（一款付费编辑器的作者）：主要就是今天没赚多少  我有点不开心
tip65,"Followers of Paper(The author of an editor that requires payment): Editors are not part of community content",纸张（一款付费编辑器的作者）拥护者：制谱器不属于社区内容
transition,Transition type: ,缓动类型：
type,Type: ,类型：
ui_bind,UI bind: ,UI绑定：
undo,Undo,撤销
undo_msg,Undo: {action},撤销：{action}
unsupported_format,Unsupported format.,不支持的格式。
v_lines,V lines,竖线数量
value,Value: ,值：
warning,Warning,警告
wide,Wide: ,宽度：
x_pos,X pos: ,X坐标：
y_offset,Y offset: ,Y偏移：
z_index,Z index: ,Z层级：
